troglodyte,穴居人
villainy,極悪
hypotension,低血圧
glutinous,にかわ質の
syncopate,切り分けする
inoperative,効き目のない
sophomoric,未熟な
ballyhoo,誇大広告
ethnologist,民族学者
ameliorate,改良する
blandishment,追従
patella,膝蓋骨
abridge,要約する
colicky,疝痛の
striation,筋つけ
manacle,手錠
befuddle,混乱させる
ideational,観念の
cybernetics,人工頭脳学
fibroblast,線維芽細胞
daintily,上品な態度で
pleural,肋膜の
deliverer,救助者
connive,黙認する
inclusivity,包括性
secularize,俗化する
follicular,濾胞性の
puffiness,膨脹
mudflat,干潟
coziness,安らかさ
extirpate,根絶させる
barbarity,野蛮
bacteremia,菌血症
omnivorous,雑食性の
sheathing,さやに納めること
opprobrium,汚名
hatchway,昇降口
pollinate,受粉する
plastered,酔っぱらって
muralist,壁画家
ungovernable,始末に負えない
optician,眼鏡商
absurdist,不条理主義者
malformed,奇形の
sanitarium,療養所
betroth,婚約させる
valance,垂れ幕
stridently,耳障りな方法で
czarist,皇帝の
indolence,怠惰
stipple,点刻法
philanderer,女たらし
immanence,内在
reconnoiter,偵察する
hematite,赤鉄鉱
acquisitive,欲深い
intranasal,鼻腔内の
mitotic,有糸分裂の
nestling,孵りたての雛
taxidermist,剥製師
